tol,solver,small_count,small_time,med_count,med_time,large_count,large_time,total_count,total_time
0.0001,MadNLP+Ma86 (CPU),16,0.09335357987784043,15,5.761648491450414,29,36.175259756461315,60,14.612357189350696
0.0001,Ipopt+Ma27 (CPU),16,0.03359371208429707,16,0.9240076335505982,30,21.75007730252644,62,8.540968110276534
0.0001,MadNLP+HybridKKT (GPU),16,0.1871953763302283,14,8.580747100001492,23,39.77413189433408,53,16.683487071821574
0.0001,MadNLP+LiftedKKT (GPU),16,0.17057601532530242,16,0.6706795400420198,30,10.15524262292766,62,4.635957425675613
0.0001,MadNCL (GPU),13,15.582482103160565,13,15.5693971070158,21,60.23287245323266,47,33.036120117649446
1.0e-8,MadNLP+Ma86 (CPU),16,0.13919513414175277,15,7.705352705616299,27,49.1010149091924,58,18.779964688986325
1.0e-8,Ipopt+Ma27 (CPU),16,0.0387767461489581,16,0.9521669670287789,30,22.829418572003405,62,8.87717500306664
1.0e-8,MadNLP+HybridKKT (GPU),16,0.20559569112456977,14,8.682505843396626,18,82.79740193176777,48,26.844496817302897
1.0e-8,MadNLP+LiftedKKT (GPU),16,0.3071470315931091,15,4.731653397807488,27,22.265748688220086,58,10.232633107352395
1.0e-8,MadNCL (GPU),14,8.179313837530792,14,10.98981640836066,26,39.950461142839124,54,21.68431038806981
